@RELATION PPI

@ATTRIBUTE Protein1 STRING
@ATTRIBUTE Protein2 STRING
@ATTRIBUTE ProteinExpressionSim NUMERIC
@ATTRIBUTE GeneExpressionSim NUMERIC
@ATTRIBUTE DIPSim NUMERIC
@ATTRIBUTE PositiveData {true,false}

@DATA
YAL032C, YLR345W, 0.29, -0.05, 0.02, true
YLR345W, YAL032C, 0.29, -0.05, 0.02, true
YAL032C, YML049C, 0.25, 0.16, 0.07, true
YML049C, YAL032C, 0.25, 0.16, 0.07, true
YAL032C, YMR213W, 0.24, 0.29, 0.51, true
YMR213W, YAL032C, 0.24, 0.29, 0.51, true
YAL032C, YMR288W, 0.24, 0.47, 0.05, true
YMR288W, YAL032C, 0.24, 0.47, 0.05, true
YAL032C, YPL151C, 0.11, 0.08, 0.16, true
YPL151C, YAL032C, 0.11, 0.08, 0.16, true
YAL032C, YPL213W, 0.08, 0.39, 0.01, true
YPL213W, YAL032C, 0.08, 0.39, 0.01, true
YAL032C, YPR101W, 0.06, -0.16, 0.27, true
YPR101W, YAL032C, 0.06, -0.16, 0.27, true
YAL033W, YBL018C, 0.18, 0.62, 0.25, true
YBL018C, YAL033W, 0.18, 0.62, 0.25, true
YAL033W, YBR257W, 0.14, 0.36, 0.33, true
YBR257W, YAL033W, 0.14, 0.36, 0.33, true
YAL033W, YGR030C, 0.15, 0.23, 0.33, true
YGR030C, YAL033W, 0.15, 0.23, 0.33, true
YAL033W, YHR062C, 0.14, 0.36, 0.25, true
YHR062C, YAL033W, 0.14, 0.36, 0.25, true
YAL033W, YNL221C, 0.31, 0.27, 0.20, true
YNL221C, YAL033W, 0.31, 0.27, 0.20, true
YAL033W, YNL282W, 0.21, 0.19, 0.20, true
YNL282W, YAL033W, 0.21, 0.19, 0.20, true
YAL034C, YER110C, 0.32, -0.08, 0.00, true
YER110C, YAL034C, 0.32, -0.08, 0.00, true
YAL034C, YJR123W, 0.21, 0.13, 0.00, true
YJR123W, YAL034C, 0.21, 0.13, 0.00, true
YAL034W-A, YGL093W, 0.21, 0.20, 0.00, true
YGL093W, YAL034W-A, 0.21, 0.20, 0.00, true
YAL034W-A, YGL172W, 0.09, 0.20, 0.00, true
YGL172W, YAL034W-A, 0.09, 0.20, 0.00, true
YAL034W-A, YGR120C, 0.10, 0.20, 0.00, true
YGR120C, YAL034W-A, 0.10, 0.20, 0.00, true
YAL034W-A, YIL144W, 0.27, 0.20, 0.00, true
YIL144W, YAL034W-A, 0.27, 0.20, 0.00, true
YAL034W-A, YIR010W, 0.21, 0.20, 0.00, true
YIR010W, YAL034W-A, 0.21, 0.20, 0.00, true
YAL034W-A, YJR112W, 0.04, 0.20, 0.00, true
YJR112W, YAL034W-A, 0.04, 0.20, 0.00, true
YAL034W-A, YKL049C, 0.06, 0.20, 0.00, true
YKL049C, YAL034W-A, 0.06, 0.20, 0.00, true
YAL034W-A, YKL103C, 0.22, 0.20, 0.00, true
YKL103C, YAL034W-A, 0.22, 0.20, 0.00, true
YAL034W-A, YPL233W, 0.11, 0.20, 0.00, true
YPL233W, YAL034W-A, 0.11, 0.20, 0.00, true
YAL035W, YDL014W, 0.29, 0.31, 0.02, true
YDL014W, YAL035W, 0.29, 0.31, 0.02, true
YAL035W, YDR091C, 0.25, 0.41, 0.02, true
YDR091C, YAL035W, 0.25, 0.41, 0.02, true
YAL035W, YDR418W, 0.27, 0.57, 0.00, true
YDR418W, YAL035W, 0.27, 0.57, 0.00, true
YAL035W, YDR429C, 0.24, 0.21, 0.05, true
YDR429C, YAL035W, 0.24, 0.21, 0.05, true
YAL035W, YDR496C, 0.32, 0.51, 0.01, true
YDR496C, YAL035W, 0.32, 0.51, 0.01, true
YAL035W, YER036C, 0.29, 0.50, 0.00, true
YER036C, YAL035W, 0.29, 0.50, 0.00, true
YAL035W, YFR031C-A, 0.33, -0.05, 0.02, true
YFR031C-A, YAL035W, 0.33, -0.05, 0.02, true
YAL035W, YHL033C, 0.21, 0.37, 0.00, true
YHL033C, YAL035W, 0.21, 0.37, 0.00, true
YAL035W, YHR010W, 0.20, 0.62, 0.00, true
YHR010W, YAL035W, 0.20, 0.62, 0.00, true
YAL035W, YLR175W, 0.37, 0.44, 0.05, true
YLR175W, YAL035W, 0.37, 0.44, 0.05, true
YAL035W, YLR192C, 0.35, 0.10, 0.08, true
YLR192C, YAL035W, 0.35, 0.10, 0.08, true
YAL035W, YLR367W, 0.14, 0.62, 0.00, true
YLR367W, YAL035W, 0.14, 0.62, 0.00, true
YAL035W, YMR260C, 0.19, 0.35, 0.00, true
YMR260C, YAL035W, 0.19, 0.35, 0.00, true
YAL035W, YMR309C, 0.33, 0.54, 0.13, true
YMR309C, YAL035W, 0.33, 0.54, 0.13, true
YAL035W, YOR361C, 0.32, 0.75, 0.04, true
YOR361C, YAL035W, 0.32, 0.75, 0.04, true
YAL035W, YPR041W, 0.31, 0.45, 0.03, true
YPR041W, YAL035W, 0.31, 0.45, 0.03, true
YAL036C, YDR152W, 0.26, 0.65, 0.00, true
YDR152W, YAL036C, 0.26, 0.65, 0.00, true
YAL036C, YNL209W, 0.49, 0.71, 0.00, true
YNL209W, YAL036C, 0.49, 0.71, 0.00, true
YAL036C, YOR091W, 0.17, 0.59, 0.00, true
YOR091W, YAL036C, 0.17, 0.59, 0.00, true
YAL038W, YFR049W, 0.29, 0.11, 0.00, true
YFR049W, YAL038W, 0.29, 0.11, 0.00, true
YAL038W, YJL164C, 0.23, -0.14, 0.00, true
YJL164C, YAL038W, 0.23, -0.14, 0.00, true
YAL038W, YNL307C, 0.29, -0.14, 0.00, true
YNL307C, YAL038W, 0.29, -0.14, 0.00, true
YAL040C, YBR160W, 0.21, 0.32, 0.01, true
YBR160W, YAL040C, 0.21, 0.32, 0.01, true
YAL040C, YDL047W, 0.26, 0.40, 0.00, true
YDL047W, YAL040C, 0.26, 0.40, 0.00, true
YAL040C, YER111C, 0.46, 0.00, 0.00, true
YER111C, YAL040C, 0.46, 0.00, 0.00, true
YAL040C, YER167W, 0.50, 0.27, 0.07, true
YER167W, YAL040C, 0.50, 0.27, 0.07, true
YAL040C, YJL013C, 0.34, -0.47, 0.00, true
YJL013C, YAL040C, 0.34, -0.47, 0.00, true
YAL040C, YJL157C, 0.41, 0.18, 0.02, true
YJL157C, YAL040C, 0.41, 0.18, 0.02, true
YAL040C, YLR079W, 0.35, 0.35, 0.05, true
YLR079W, YAL040C, 0.35, 0.35, 0.05, true
YAL040C, YMR199W, 0.42, 0.35, 0.09, true
YMR199W, YAL040C, 0.42, 0.35, 0.09, true
YAL040C, YNL064C, 0.11, -0.33, 0.00, true
YNL064C, YAL040C, 0.11, -0.33, 0.00, true
YAL040C, YPL256C, 0.52, 0.20, 0.09, true
YPL256C, YAL040C, 0.52, 0.20, 0.09, true
YAL041W, YBR200W, 0.35, 0.04, 0.29, true
YBR200W, YAL041W, 0.35, 0.04, 0.29, true
YAL041W, YDR103W, 0.49, -0.22, 0.05, true
YDR103W, YAL041W, 0.49, -0.22, 0.05, true
YAL041W, YER114C, 0.51, -0.15, 0.08, true
YER114C, YAL041W, 0.51, -0.15, 0.08, true
YAL041W, YGR152C, 0.16, 0.11, 0.16, true
YGR152C, YAL041W, 0.16, 0.11, 0.16, true
YAL041W, YGR221C, 0.59, -0.07, 0.00, true
YGR221C, YAL041W, 0.59, -0.07, 0.00, true
YAL041W, YIL079C, 0.21, 0.23, 0.00, true
YIL079C, YAL041W, 0.21, 0.23, 0.00, true
YAL041W, YJL157C, 0.34, -0.04, 0.07, true
YJL157C, YAL041W, 0.34, -0.04, 0.07, true
YAL041W, YJL187C, 0.55, -0.18, 0.01, true
YJL187C, YAL041W, 0.55, -0.18, 0.01, true
YAL041W, YLR206W, 0.34, -0.16, 0.00, true
YLR206W, YAL041W, 0.34, -0.16, 0.00, true
YAL041W, YLR229C, 0.22, -0.25, 0.15, true
YLR229C, YAL041W, 0.22, -0.25, 0.15, true
YAL041W, YNL007C, 0.26, -0.14, 0.00, true
YNL007C, YAL041W, 0.26, -0.14, 0.00, true
YAL041W, YNL298W, 0.57, 0.12, 0.04, true
YNL298W, YAL041W, 0.57, 0.12, 0.04, true
YAL041W, YOR212W, 0.36, -0.33, 0.01, true
YOR212W, YAL041W, 0.36, -0.33, 0.01, true
YAL042W, YBR229C, 0.30, 0.14, 0.00, true
YBR229C, YAL042W, 0.30, 0.14, 0.00, true
YAL042W, YER083C, 0.25, -0.18, 0.00, true
YER083C, YAL042W, 0.25, -0.18, 0.00, true
YAL042W, YJR073C, 0.26, 0.27, 0.00, true
YJR073C, YAL042W, 0.26, 0.27, 0.00, true
YAL042W, YML067C, 0.26, 0.20, 0.05, true
YML067C, YAL042W, 0.26, 0.20, 0.05, true
YAL042W, YML130C, 0.18, 0.01, 0.09, true
YML130C, YAL042W, 0.18, 0.01, 0.09, true
YAL043C, YAL046C, 0.18, 0.24, 0.00, true
YAL046C, YAL043C, 0.18, 0.24, 0.00, true
YAL043C, YBL076C, 0.46, 0.11, 0.00, true
YBL076C, YAL043C, 0.46, 0.11, 0.00, true
YAL043C, YBL101C, 0.55, 0.34, 0.00, true
YBL101C, YAL043C, 0.55, 0.34, 0.00, true
YAL043C, YBR119W, 0.32, 0.14, 0.00, true
YBR119W, YAL043C, 0.32, 0.14, 0.00, true
YAL043C, YDL199C, 0.52, 0.05, 0.00, true
YDL199C, YAL043C, 0.52, 0.05, 0.00, true
YAL043C, YDR195W, 0.45, 0.52, 0.66, true
YDR195W, YAL043C, 0.45, 0.52, 0.66, true
YAL043C, YDR228C, 0.32, 0.05, 0.22, true
YDR228C, YAL043C, 0.32, 0.05, 0.22, true
YAL043C, YDR301W, 0.52, -0.19, 0.66, true
YDR301W, YAL043C, 0.52, -0.19, 0.66, true
YAL043C, YER133W, 0.26, 0.02, 0.22, true
YER133W, YAL043C, 0.26, 0.02, 0.22, true
YAL043C, YGR156W, 0.42, 0.40, 0.58, true
YGR156W, YAL043C, 0.42, 0.40, 0.58, true
YAL043C, YJR093C, 0.42, 0.12, 0.52, true
YJR093C, YAL043C, 0.42, 0.12, 0.52, true
YAL043C, YKL018W, 0.37, -0.20, 0.40, true
YKL018W, YAL043C, 0.37, -0.20, 0.40, true
YAL043C, YKL059C, 0.40, -0.14, 0.68, true
YKL059C, YAL043C, 0.40, -0.14, 0.68, true
YAL043C, YKR002W, 0.34, 0.36, 0.68, true
YKR002W, YAL043C, 0.34, 0.36, 0.68, true
YAL043C, YLR115W, 0.35, 0.08, 0.73, true
YLR115W, YAL043C, 0.35, 0.08, 0.73, true
YAL043C, YLR277C, 0.37, -0.38, 0.64, true
YLR277C, YAL043C, 0.37, -0.38, 0.64, true
YAL043C, YLR303W, 0.30, -0.16, 0.00, true
YLR303W, YAL043C, 0.30, -0.16, 0.00, true
YAL043C, YMR039C, 0.18, -0.26, 0.00, true
YMR039C, YAL043C, 0.18, -0.26, 0.00, true
YAL043C, YMR061W, 0.31, 0.14, 0.40, true
YMR061W, YAL043C, 0.31, 0.14, 0.40, true
YAL043C, YNL222W, 0.16, 0.03, 0.20, true
YNL222W, YAL043C, 0.16, 0.03, 0.20, true
YAL043C, YNL317W, 0.36, -0.13, 0.58, true
YNL317W, YAL043C, 0.36, -0.13, 0.58, true
YAL043C, YOR179C, 0.14, 0.02, 0.27, true
YOR179C, YAL043C, 0.14, 0.02, 0.27, true
YAL043C, YPR107C, 0.20, -0.02, 0.60, true
YPR107C, YAL043C, 0.20, -0.02, 0.60, true
YAL047C, YGR218W, 0.36, 0.34, 0.00, true
YGR218W, YAL047C, 0.36, 0.34, 0.00, true
YAL047C, YHR172W, 0.35, 0.28, 0.17, true
YHR172W, YAL047C, 0.35, 0.28, 0.17, true
YAL047C, YLR045C, 0.36, 0.33, 0.03, true
YLR045C, YAL047C, 0.36, 0.33, 0.03, true
YAL047C, YLR212C, 0.26, 0.26, 0.07, true
YLR212C, YAL047C, 0.26, 0.26, 0.07, true
YAL047C, YNL126W, 0.43, 0.40, 0.11, true
YNL126W, YAL047C, 0.43, 0.40, 0.11, true
YAL047C, YNL188W, 0.36, 0.35, 0.00, true
YNL188W, YAL047C, 0.36, 0.35, 0.00, true
YAL047C, YOR373W, 0.32, 0.37, 0.00, true
YOR373W, YAL047C, 0.32, 0.37, 0.00, true
YAL048C, YOR284W, 0.32, 0.12, 0.00, true
YOR284W, YAL048C, 0.32, 0.12, 0.00, true
YAL049C, YNL094W, 0.10, 0.22, 0.00, true
YNL094W, YAL049C, 0.10, 0.22, 0.00, true
YAL051W, YBR060C, 0.43, 0.23, 0.00, true
YBR060C, YAL051W, 0.43, 0.23, 0.00, true
YAL051W, YDR060W, 0.39, 0.08, 0.00, true
YDR060W, YAL051W, 0.39, 0.08, 0.00, true
YAL051W, YDR412W, 0.13, 0.08, 0.00, true
YDR412W, YAL051W, 0.13, 0.08, 0.00, true
YAL051W, YIL036W, 0.38, 0.31, 0.00, true
YIL036W, YAL051W, 0.38, 0.31, 0.00, true
YAL051W, YKL172W, 0.08, 0.16, 0.00, true
YKL172W, YAL051W, 0.08, 0.16, 0.00, true
YAL051W, YLR197W, 0.16, 0.06, 0.00, true
YLR197W, YAL051W, 0.16, 0.06, 0.00, true
YAL051W, YOR310C, 0.22, -0.12, 0.00, true
YOR310C, YAL051W, 0.22, -0.12, 0.00, true
YAL051W, YOR363C, 0.59, 0.06, 0.00, true
YOR363C, YAL051W, 0.59, 0.06, 0.00, true
YAL051W, YPL146C, 0.23, 0.22, 0.00, true
YPL146C, YAL051W, 0.23, 0.22, 0.00, true
YAL051W, YPR169W, 0.26, 0.20, 0.00, true
YPR169W, YAL051W, 0.26, 0.20, 0.00, true
YAL053W, YML072C, 0.54, -0.13, 0.00, true
YML072C, YAL053W, 0.54, -0.13, 0.00, true
YAL053W, YOR153W, 0.59, 0.49, 0.00, true
YOR153W, YAL053W, 0.59, 0.49, 0.00, true
YAL055W, YDL065C, 0.00, 0.57, 0.06, true
YDL065C, YAL055W, 0.00, 0.57, 0.06, true
YAL055W, YDR265W, 0.17, 0.04, 0.53, true
YDR265W, YAL055W, 0.17, 0.04, 0.53, true
YAL055W, YGR133W, 0.06, 0.22, 0.10, true
YGR133W, YAL055W, 0.06, 0.22, 0.10, true
YAL055W, YOL044W, 0.16, 0.47, 0.12, true
YOL044W, YAL055W, 0.16, 0.47, 0.12, true
YAL056W, YER020W, 0.35, 0.18, 0.08, true
YER020W, YAL056W, 0.35, 0.18, 0.08, true
YAL056W, YGL121C, 0.21, 0.20, 0.10, true
YGL121C, YAL056W, 0.21, 0.20, 0.10, true
YAL059W, YBR115C, 0.18, 0.18, 0.00, true
YBR115C, YAL059W, 0.18, 0.18, 0.00, true
YAL059W, YDR395W, 0.05, 0.56, 0.00, true
YDR395W, YAL059W, 0.05, 0.56, 0.00, true
YAL059W, YMR124W, 0.12, 0.13, 0.00, true
YMR124W, YAL059W, 0.12, 0.13, 0.00, true
YAR002C-A, YGL054C, 0.26, -0.26, 0.00, true
YGL054C, YAR002C-A, 0.26, -0.26, 0.00, true
YAR002C-A, YGL200C, 0.26, 0.17, 0.04, true
YGL200C, YAR002C-A, 0.26, 0.17, 0.04, true
YAR002C-A, YML012W, 0.26, -0.02, 0.14, true
YML012W, YAR002C-A, 0.26, -0.02, 0.14, true
YAR002W, YDL229W, 0.29, -0.02, 0.05, true
YDL229W, YAR002W, 0.29, -0.02, 0.05, true
YAR002W, YER110C, 0.36, 0.08, 0.04, true
YER110C, YAR002W, 0.36, 0.08, 0.04, true
YAR002W, YER165W, 0.25, -0.06, 0.05, true
YER165W, YAR002W, 0.25, -0.06, 0.05, true
YAR002W, YGL097W, 0.19, 0.18, 0.17, true
YGL097W, YAR002W, 0.19, 0.18, 0.17, true
YAR002W, YLR293C, 0.16, 0.17, 0.17, true
YLR293C, YAR002W, 0.16, 0.17, 0.17, true
YAR002W, YLR335W, 0.32, 0.28, 0.51, true
YLR335W, YAR002W, 0.32, 0.28, 0.51, true
YAR002W, YLR347C, 0.32, 0.04, 0.09, true
YLR347C, YAR002W, 0.32, 0.04, 0.09, true
YAR002W, YMR047C, 0.26, 0.09, 0.04, true
YMR047C, YAR002W, 0.26, 0.09, 0.04, true
YAR002W, YNL189W, 0.31, 0.31, 0.02, true
YNL189W, YAR002W, 0.31, 0.31, 0.02, true
YAR002W, YOR098C, 0.41, 0.05, 0.23, true
YOR098C, YAR002W, 0.41, 0.05, 0.23, true
YAR002W, YPL169C, 0.35, 0.13, 0.00, true
YPL169C, YAR002W, 0.35, 0.13, 0.00, true
YAR003W, YBR175W, 0.22, 0.33, 0.26, true
YBR175W, YAR003W, 0.22, 0.33, 0.26, true
YAR003W, YBR258C, 0.21, 0.37, 0.42, true
YBR258C, YAR003W, 0.21, 0.37, 0.42, true
YAR003W, YDL020C, 0.26, -0.31, 0.00, true
YDL020C, YAR003W, 0.26, -0.31, 0.00, true
YAR003W, YDR469W, 0.12, 0.43, 0.31, true
YDR469W, YAR003W, 0.12, 0.43, 0.31, true
YAR003W, YHR119W, 0.27, 0.47, 0.40, true
YHR119W, YAR003W, 0.27, 0.47, 0.40, true
YAR003W, YHR200W, 0.16, 0.02, 0.00, true
YHR200W, YAR003W, 0.16, 0.02, 0.00, true
YAR003W, YKL018W, 0.21, -0.35, 0.18, true
YKL018W, YAR003W, 0.21, -0.35, 0.18, true
YAR003W, YLR015W, 0.23, 0.47, 0.40, true
YLR015W, YAR003W, 0.23, 0.47, 0.40, true
YAR003W, YPL138C, 0.09, 0.04, 0.40, true
YPL138C, YAR003W, 0.09, 0.04, 0.40, true
YAR003W, YPR135W, 0.35, 0.26, 0.00, true
YPR135W, YAR003W, 0.35, 0.26, 0.00, true
YAR007C, YBL002W, 0.19, 0.26, 0.00, true
YBL002W, YAR007C, 0.19, 0.26, 0.00, true
YAR007C, YBR136W, 0.39, -0.19, 0.05, true
YBR136W, YAR007C, 0.39, -0.19, 0.05, true
YAR007C, YCR092C, 0.37, 0.10, 0.09, true
YCR092C, YAR007C, 0.37, 0.10, 0.09, true
YAR007C, YDL140C, 0.33, -0.17, 0.00, true
YDL140C, YAR007C, 0.33, -0.17, 0.00, true
YAR007C, YDL156W, 0.34, 0.65, 0.03, true
YDL156W, YAR007C, 0.34, 0.65, 0.03, true
YAR007C, YDR097C, 0.24, 0.66, 0.18, true
YDR097C, YAR007C, 0.24, 0.66, 0.18, true
YAR007C, YDR129C, 0.29, -0.38, 0.00, true
YDR129C, YAR007C, 0.29, -0.38, 0.00, true
YAR007C, YDR174W, 0.10, -0.46, 0.00, true
YDR174W, YAR007C, 0.10, -0.46, 0.00, true
YAR007C, YEL030W, 0.30, -0.00, 0.00, true
YEL030W, YAR007C, 0.30, -0.00, 0.00, true
YAR007C, YER095W, 0.17, 0.72, 0.01, true
YER095W, YAR007C, 0.17, 0.72, 0.01, true
YAR007C, YFL014W, 0.08, -0.15, 0.00, true
YFL014W, YAR007C, 0.08, -0.15, 0.00, true
YAR007C, YFR013W, 0.29, 0.06, 0.03, true
YFR013W, YAR007C, 0.29, 0.06, 0.03, true
YAR007C, YHR164C, 0.35, 0.36, 0.00, true
YHR164C, YAR007C, 0.35, 0.36, 0.00, true
YAR007C, YIR002C, 0.25, -0.18, 0.02, true
YIR002C, YAR007C, 0.25, -0.18, 0.02, true
YAR007C, YJL173C, 0.09, 0.62, 0.08, true
YJL173C, YAR007C, 0.09, 0.62, 0.08, true
YAR007C, YLR429W, 0.29, -0.09, 0.02, true
YLR429W, YAR007C, 0.29, -0.09, 0.02, true
YAR007C, YML032C, 0.33, 0.49, 0.21, true
YML032C, YAR007C, 0.33, 0.49, 0.21, true
YAR007C, YML069W, 0.23, 0.23, 0.00, true
YML069W, YAR007C, 0.23, 0.23, 0.00, true
YAR007C, YMR224C, 0.26, 0.48, 0.00, true
YMR224C, YAR007C, 0.26, 0.48, 0.00, true
YAR007C, YMR234W, 0.20, 0.32, 0.03, true
YMR234W, YAR007C, 0.20, 0.32, 0.03, true
YAR007C, YNL312W, 0.25, 0.72, 0.05, true
YNL312W, YAR007C, 0.25, 0.72, 0.05, true
YAR007C, YOL090W, 0.29, 0.85, 0.01, true
YOL090W, YAR007C, 0.29, 0.85, 0.01, true
YAR007C, YPL022W, 0.32, 0.16, 0.00, true
YPL022W, YAR007C, 0.32, 0.16, 0.00, true
YAR008W, YLR105C, 0.15, 0.10, 0.18, true
YLR105C, YAR008W, 0.15, 0.10, 0.18, true
YAR008W, YMR059W, 0.05, 0.04, 0.03, true
YMR059W, YAR008W, 0.05, 0.04, 0.03, true
YAR014C, YER133W, 0.16, -0.19, 0.03, true
YER133W, YAR014C, 0.16, -0.19, 0.03, true
YAR014C, YER155C, 0.41, 0.05, 0.00, true
YER155C, YAR014C, 0.41, 0.05, 0.00, true
YAR018C, YBL106C, 0.31, 0.01, 0.00, true
YBL106C, YAR018C, 0.31, 0.01, 0.00, true
YAR019C, YFR028C, 0.43, 0.02, 0.02, true
YFR028C, YAR019C, 0.43, 0.02, 0.02, true
YAR019C, YGR092W, 0.44, 0.03, 0.03, true
YGR092W, YAR019C, 0.44, 0.03, 0.03, true
YAR019C, YHR152W, 0.16, 0.02, 0.00, true
YHR152W, YAR019C, 0.16, 0.02, 0.00, true
YAR019C, YLR079W, 0.35, -0.20, 0.00, true
YLR079W, YAR019C, 0.35, -0.20, 0.00, true
YAR019C, YML064C, 0.32, 0.04, 0.00, true
YML064C, YAR019C, 0.32, 0.04, 0.00, true
YAR019C, YMR001C, 0.47, -0.19, 0.00, true
YMR001C, YAR019C, 0.47, -0.19, 0.00, true
YAR019C, YPR119W, 0.42, -0.02, 0.00, true
YPR119W, YAR019C, 0.42, -0.02, 0.00, true
YAR031W, YBR217W, 0.23, 0.33, 0.00, true
YBR217W, YAR031W, 0.23, 0.33, 0.00, true
YAR031W, YCR030C, 0.29, 0.01, 0.00, true
YCR030C, YAR031W, 0.29, 0.01, 0.00, true
YAR033W, YGL051W, 0.96, 0.51, 0.26, true
YGL051W, YAR033W, 0.96, 0.51, 0.26, true
YAR033W, YKL174C, 0.25, 0.21, 0.06, true
YKL174C, YAR033W, 0.25, 0.21, 0.06, true
YAR042W, YAR042W, 1.00, 1.00, 0.44, true
YAR042W, YAR042W, 1.00, 1.00, 0.44, true
YAR042W, YBR079C, 0.19, -0.06, 0.00, true
YBR079C, YAR042W, 0.19, -0.06, 0.00, true
YAR042W, YDL019C, 0.21, -0.08, 0.44, true
YDL019C, YAR042W, 0.21, -0.08, 0.44, true
YAR042W, YDL040C, 0.25, 0.22, 0.00, true
YDL040C, YAR042W, 0.25, 0.22, 0.00, true
YAR042W, YER120W, 0.18, 0.11, 0.00, true
YER120W, YAR042W, 0.18, 0.11, 0.00, true
YAR042W, YHR195W, 0.14, -0.03, 0.00, true
YHR195W, YAR042W, 0.14, -0.03, 0.00, true
YAR042W, YIL074C, 0.35, 0.01, 0.00, true
YIL074C, YAR042W, 0.35, 0.01, 0.00, true
YAR042W, YLR397C, 0.28, 0.01, 0.00, true
YLR397C, YAR042W, 0.28, 0.01, 0.00, true
YAR042W, YML069W, 0.24, 0.10, 0.00, true
YML069W, YAR042W, 0.24, 0.10, 0.00, true
YAR042W, YOR361C, 0.25, -0.08, 0.00, true
YOR361C, YAR042W, 0.25, -0.08, 0.00, true
YAR042W, YPR080W, 0.16, -0.16, 0.00, true
YPR080W, YAR042W, 0.16, -0.16, 0.00, true
YAR064W, YBR109C, 0.01, 0.17, 0.00, true
YBR109C, YAR064W, 0.01, 0.17, 0.00, true
YAR071W, YBR093C, 0.79, 0.67, 0.00, true
YBR093C, YAR071W, 0.79, 0.67, 0.00, true
YAR071W, YCR038C, 0.41, 0.05, 0.00, true
YCR038C, YAR071W, 0.41, 0.05, 0.00, true
YAR071W, YFR055W, 0.27, 0.03, 0.00, true
YFR055W, YAR071W, 0.27, 0.03, 0.00, true
YAR071W, YGL245W, 0.15, 0.21, 0.00, true
YGL245W, YAR071W, 0.15, 0.21, 0.00, true
YBL002W, YBL003C, 0.09, 0.81, 0.01, true
YBL003C, YBL002W, 0.09, 0.81, 0.01, true
YBL002W, YBR009C, 0.08, 0.81, 0.04, true
YBR009C, YBL002W, 0.08, 0.81, 0.04, true
YBL002W, YDL156W, 0.21, 0.32, 0.00, true
YDL156W, YBL002W, 0.21, 0.32, 0.00, true
YBL002W, YER091C, 0.23, 0.14, 0.00, true
YER091C, YBL002W, 0.23, 0.14, 0.00, true
YBL002W, YGL207W, 0.12, 0.15, 0.04, true
YGL207W, YBL002W, 0.12, 0.15, 0.04, true
YBL002W, YGL241W, 0.13, 0.11, 0.02, true
YGL241W, YBL002W, 0.13, 0.11, 0.02, true
YBL002W, YKR048C, 0.05, -0.16, 0.00, true
YKR048C, YBL002W, 0.05, -0.16, 0.00, true
YBL002W, YLR133W, 0.11, -0.20, 0.00, true
YLR133W, YBL002W, 0.11, -0.20, 0.00, true
YBL002W, YML069W, 0.21, 0.34, 0.05, true
YML069W, YBL002W, 0.21, 0.34, 0.05, true
YBL002W, YMR072W, 0.09, -0.17, 0.00, true
YMR072W, YBL002W, 0.09, -0.17, 0.00, true
YBL002W, YOL012C, 0.04, 0.51, 0.06, true
YOL012C, YBL002W, 0.04, 0.51, 0.06, true
YBL002W, YOL054W, 0.05, 0.11, 0.00, true
YOL054W, YBL002W, 0.05, 0.11, 0.00, true
YBL003C, YBL046W, 0.09, 0.02, 0.00, true
YBL046W, YBL003C, 0.09, 0.02, 0.00, true
YBL003C, YBR009C, 0.24, 0.86, 0.02, true
YBR009C, YBL003C, 0.24, 0.86, 0.02, true
YBL003C, YBR010W, 0.01, 0.90, 0.00, true
YBR010W, YBL003C, 0.01, 0.90, 0.00, true
YBL003C, YBR245C, 0.16, 0.15, 0.02, true
YBR245C, YBL003C, 0.16, 0.15, 0.02, true
YBL003C, YCR028C-A, 0.26, 0.20, 0.00, true
YCR028C-A, YBL003C, 0.26, 0.20, 0.00, true
YBL003C, YDL014W, 0.15, 0.10, 0.02, true
YDL014W, YBL003C, 0.15, 0.10, 0.02, true
YBL003C, YDR083W, 0.14, 0.05, 0.00, true
YDR083W, YBL003C, 0.14, 0.05, 0.00, true
YBL003C, YDR174W, 0.09, 0.23, 0.00, true
YDR174W, YBL003C, 0.09, 0.23, 0.00, true
YBL003C, YDR224C, 0.10, 0.90, 0.02, true
YDR224C, YBL003C, 0.10, 0.90, 0.02, true
YBL003C, YDR225W, 0.98, 0.92, 0.02, true
YDR225W, YBL003C, 0.98, 0.92, 0.02, true
YBL003C, YDR303C, 0.11, 0.26, 0.00, true
YDR303C, YBL003C, 0.11, 0.26, 0.00, true
YBL003C, YFR013W, 0.16, 0.10, 0.08, true
YFR013W, YBL003C, 0.16, 0.10, 0.08, true
YBL003C, YGL207W, 0.09, 0.19, 0.03, true
YGL207W, YBL003C, 0.09, 0.19, 0.03, true
YBL003C, YGL241W, 0.12, -0.06, 0.00, true
YGL241W, YBL003C, 0.12, -0.06, 0.00, true
YBL003C, YHL024W, 0.13, 0.04, 0.00, true
YHL024W, YBL003C, 0.13, 0.04, 0.00, true
YBL003C, YHL034C, 0.34, 0.03, 0.00, true
YHL034C, YBL003C, 0.34, 0.03, 0.00, true
YBL003C, YHR099W, 0.19, 0.14, 0.00, true
YHR099W, YBL003C, 0.19, 0.14, 0.00, true
YBL003C, YIL035C, 0.08, 0.02, 0.01, true
YIL035C, YBL003C, 0.08, 0.02, 0.01, true
YBL003C, YIL148W, 0.05, 0.08, 0.00, true
YIL148W, YBL003C, 0.05, 0.08, 0.00, true
YBL003C, YIL173W, 0.14, 0.27, 0.00, true
YIL173W, YBL003C, 0.14, 0.27, 0.00, true
YBL003C, YJL034W, 0.30, -0.03, 0.00, true
